country,region,total,new,deaths,transmission classification
Monaco,Europe,2514,3,33,Sporadic Cases
Mongolia,Western Pacific,69022,1312,324,Cluster of Cases
Montenegro,Europe,99858,0,1596,Cluster of Cases
Montserrat,Americas,20,0,1,No Active Cases
Morroco,Eastern Mediterranean,522765,376,9192,Community Transmission
Mozambique,Africa,71239,74,840,Community Transmission
Myanmar,South-East Asia,144715,136,3233,Cluster of Cases
Namibia,Africa,60329,515,950,Community Transmission
Nauru,Western Pacific,0,0,0,No Cases
Nepal,South-East Asia,598813,3449,8179,Community Transmission
Netherlands,Europe,1667560,1791,17700,Community Transmission
New Caledonia,Western Pacific,128,0,0,Sporadic Cases
New Zealand,Western Pacific,2341,1,26,Sporadic Cases
Nicaragua,Americas,6085,0,188,Community Transmission
Niger,Africa,5442,3,192,Community Transmission
Nigeria,Africa,166982,64,2117,Community Transmission
Niue,Western Pacific,0,0,0,No Cases
Norfolk island,Western Pacific,183,0,2,No Active Cases
North Macedonia,Europe,155469,28,5467,Sporadic Cases
Northern Mariana Islands,Western Pacific,183,0,2,Pending
Norway,Europe,127254,191,789,Clusters of Cases
Oman,Eastern Mediterranean,228579,1895,2448,Community Transmission
Pakistan,Eastern Mediterranean,936131,1118,21453,Community Transmission
Palau,Western Pacific,0,0,0,No Cases
Palestenian Territory,Eastern Mediterranean,339631,246,3790,Community Transmission
Panama,Americas,383733,882,6408,Community Transmission
Papua New Guinea,Western Pacific,16580,0,164,Community Transmission
Paraguay,Americas,379131,3135,10145,Community Transmission
Peru,Americas,1987933,2934,187157,Community Transmission
Philippines,Western Pacific,1293687,7485,22312,Community Transmission
Pitcairn Islands,Western Pacific,0,0,0,No Cases
Poland,Europe,2876667,378,74447,Community Transmission
Portugal,Europe,854522,890,17307,Cluster of Cases
Puerto Rico,Americas,139142,10,2524,Community Transmission
Qatar,Eastern Mediterranean,219138,158,573,Community Transmission
Republic of Korea,Western Pacific,146303,611,1979,Cluster of Cases
Republic of Moldova,Europe,255601,60,6145,Community Transmission
Romania,Europe,1079294,140,31383,Community Transmission
Russian Federation,Europe,5167949,11699,125278,Cluster of Cases
Rwanda,Africa,27434,127,364,Community Transmission
Reunion,Africa,27235,0,212,Community Transmission
Saba,Americas,7,0,0,No Active Cases
Saint Barthelemy,Americas,1029,0,1,Cluster of Cases
Saint Helena,Africa,0,0,0,No Cases
Saint Kitts and Nevis,Americas,119,25,0,Cluster of Cases
Saint Lucia,Americas,5148,10,80,Community Transmission
Saint Martin,Americas,2113,0,22,Community Transmission
Saint Pierre and Miguelon,Americas,25,0,0,Community Transmission
Saint Vincent and the Grenadines,Americas,2092,7,12,Community Transmission
Samoa,Western Pacific,1,0,0,No Active Cases
San Marino,Europe,5090,0,90,Community Transmission
San Tome and Principe,Africa,2354,1,37,Community Transmission
Saudi Arabia,Eastern Mediterranean,461242,1274,7503,Community Transmission
Senegal,Africa,41796,71,1150,Community Transmission
Serbia,Europe,714252,198,6938,Community Transmission
Seychelles,Africa,12813,202,42,Community Transmission
Sierra Leone,Africa,4251,43,82,Community Transmission
Singapore,Western Pacific,62223,4,34,Sporadic Cases
Sint Eustatius,Americas,20,0,0,No Active Cases
Sint Maartin,Americas,2495,11,30,Community Transmission
Slovakia,Europe,390809,116,12433,Cluster of Cases
Slovenia,Europe,255908,255,4709,Cluster of Cases
Solomon Islands,Western Pacific,20,0,0,No Active Cases
Somalia,Eastern Mediterranean,14779,3,774,Community Transmission
South Africa,Africa,1712939,8881,57310,Community Transmission
South Sudan,Africa,10688,0,115,Community Transmission
Spain,Europe,3715454,2162,80332,Community Transmission
Sri Lanka,South-East Asia,213396,2735,1910,Cluster of Cases
Sudan,Eastern Mediterranean,36203,0,2719,Cluster of Cases
Suriname,Americas,17041,255,363,Community Transmission
Sweden,Europe,1081898,1175,14562,Community Transmission
Switzerland,Europe,696225,1,10238,Community Transmission
Syrian Arab Republic,Eastern Mediterranean,24723,33,1801,Community Transmission
Tajikistan,Europe,13714,0,91,Pending
Thailand,South-East Asia,187538,2310,1375,Cluster of Cases
Timor-Leste,South-East Asia,8113,172,18,Community Transmission
Togo,Africa,13563,12,126,Community Transmission
Tokelau,Western Pacific,0,0,0,No Cases
Tonga,Western Pacific,0,0,0,No Cases
Trinidad and Tobago,Americas,27079,280,599,Community Transmission
Tunisia,Eastern Mediterranean,360285,2102,13229,Community Transmission
Turkey,Europe,5306690,6454,48428,Community Transmission
Turkmenistan,Europe,0,0,0,No Cases
Turks and Caicos Islands,Americas,2421,0,18,Cluster of Cases
Tuvalu,Western Pacific,0,0,0,No Cases
Uganda,Africa,55551,842,402,Community Transmission
Ukraine,Europe,2219824,1785,51507,Community Transmission
United Arab Emirates,Eastern Mediterranean,589423,2179,1710,Community Transmission
United Kingdom,Europe,4535758,7312,127860,Community Transmission
United Republic of Tanzania,Africa,509,0,21,Pending
United States of America,Americas,33072912,16551,592932,Community Transmission
United States Virgin Islands,Americas,3618,10,28,Community Transmission
Uruguay,Americas,322978,4195,4749,Community Transmission
Uzbekistan,Europe,102605,243,702,Cluster of Cases
Vanuatu,Western Pacific,3,0,0,No Active Vases
Venezuela,Americas,245300,1679,2750,Community Transmission
Vietnam,Western Pacific,9635,413,55,Cluster of Cases
Wallis and Futuna,Western Pacific,454,0,7,Sporadic Cases
Yemen,Eastern Mediterranean,6832,9,1337,Community Transmission
Zambia,Africa,103763,1767,1324,Community Transmission
Zimbabwe,Africa,39432,111,1622,Community Transmission
